id_C,CX,CY,Tipo,CapacidadM,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,2021,6835,Vidrio,5000,,,,,,,335
2,6704,6671,Pilas,5000,2086,4289,,,,,
3,7605,6903,Carton y Papeles,5000,,,4298,324,,,
4,4538,1025,Pilas,5000,3353,529,,,,,
5,1532,2377,Carton y Papeles,5000,,,4824,4894,,,
6,9969,9708,Vidrio,5000,,,,,,,4109
7,2497,1657,Vidrio,5000,,,,,,,500
8,5430,7000,Carton y Papeles,5000,,,1519,3675,,,
9,4856,3190,Plastico,5000,,,,,2412,1813,
10,6029,6429,Carton y Papeles,5000,,,4391,955,,,
11,3726,6542,Plastico,5000,,,,,1506,5092,
12,9022,6489,Vidrio,5000,,,,,,,3557
13,6508,1174,Pilas,5000,2511,543,,,,,
14,3520,8936,Carton y Papeles,5000,,,3400,1094,,,
15,9171,9638,Carton y Papeles,5000,,,2324,4347,,,
16,5503,1445,Plastico,5000,,,,,1326,424,
17,5317,8259,Pilas,5000,4969,785,,,,,
18,3530,6006,Pilas,5000,1721,1990,,,,,
19,3183,8731,Vidrio,5000,,,,,,,1649
20,6991,4681,Pilas,5000,3547,3362,,,,,
21,9200,1806,Carton y Papeles,5000,,,4191,569,,,
22,5670,7997,Vidrio,5000,,,,,,,1949
23,9880,5034,Plastico,5000,,,,,3214,406,
24,4185,7060,Plastico,5000,,,,,626,850,
25,6820,9719,Vidrio,5000,,,,,,,278
26,7894,4856,Pilas,5000,4849,2503,,,,,
27,7712,6861,Vidrio,5000,,,,,,,2623
28,7274,5099,Carton y Papeles,5000,,,4119,3840,,,
29,8102,3925,Plastico,5000,,,,,4805,4908,
30,6774,8291,Vidrio,5000,,,,,,,3047
31,8295,3528,Vidrio,5000,,,,,,,4472
32,4937,7533,Pilas,5000,842,2734,,,,,
33,3477,4962,Carton y Papeles,5000,,,1285,3204,,,
34,5899,9431,Carton y Papeles,5000,,,3134,3666,,,
35,8475,7558,Vidrio,5000,,,,,,,4793
36,4010,6339,Pilas,5000,289,543,,,,,
37,5867,9138,Vidrio,5000,,,,,,,468
38,9973,8216,Vidrio,5000,,,,,,,1916
39,8440,3339,Vidrio,5000,,,,,,,3686
40,9724,2328,Pilas,5000,2852,2706,,,,,
41,6002,4645,Pilas,5000,4054,3763,,,,,
42,2165,8881,Pilas,5000,525,1710,,,,,
43,8746,7818,Vidrio,5000,,,,,,,4898
44,2509,4819,Plastico,5000,,,,,2377,3884,
45,4686,7817,Pilas,5000,4915,3340,,,,,
46,7916,7455,Carton y Papeles,5000,,,2949,3258,,,
47,7013,5264,Pilas,5000,2642,3866,,,,,
48,9004,6075,Plastico,5000,,,,,4437,4582,
49,1446,3461,Plastico,5000,,,,,4328,2750,
50,9197,3994,Carton y Papeles,5000,,,2915,2090,,,
51,5994,9756,Carton y Papeles,5000,,,1873,1522,,,
52,9646,4267,Vidrio,5000,,,,,,,1888
53,4866,1991,Plastico,5000,,,,,1880,3498,
54,5873,4790,Carton y Papeles,5000,,,3030,1805,,,
55,3831,1327,Vidrio,5000,,,,,,,3167
56,1685,1709,Carton y Papeles,5000,,,4390,1407,,,
57,3767,8646,Plastico,5000,,,,,3591,918,
58,1542,7188,Plastico,5000,,,,,2486,4684,
59,7959,5808,Pilas,5000,1823,518,,,,,
60,1868,2571,Plastico,5000,,,,,2404,3169,
61,7316,5478,Vidrio,5000,,,,,,,219
62,6253,8337,Vidrio,5000,,,,,,,4640
63,5805,9104,Pilas,5000,1582,995,,,,,
64,9794,9441,Pilas,5000,2244,2776,,,,,
65,2152,7767,Plastico,5000,,,,,4442,2058,
66,4280,6662,Vidrio,5000,,,,,,,269
67,3803,5780,Carton y Papeles,5000,,,4344,911,,,
68,7020,6905,Carton y Papeles,5000,,,3350,4402,,,
69,4252,4878,Vidrio,5000,,,,,,,4621
70,2243,8119,Pilas,5000,4539,641,,,,,
71,6743,8234,Pilas,5000,4958,2188,,,,,
72,9254,8523,Pilas,5000,4379,679,,,,,
73,3409,7000,Vidrio,5000,,,,,,,790
74,5488,6051,Pilas,5000,1883,3624,,,,,
75,1763,3341,Vidrio,5000,,,,,,,1915
76,7095,4816,Carton y Papeles,5000,,,143,3049,,,
77,3404,3506,Vidrio,5000,,,,,,,3454
78,7776,7605,Carton y Papeles,5000,,,2984,3479,,,
79,6099,9892,Carton y Papeles,5000,,,3795,2516,,,
80,3851,5967,Pilas,5000,4449,2371,,,,,
81,6972,1599,Carton y Papeles,5000,,,1138,1811,,,
82,2092,9648,Plastico,5000,,,,,902,3021,
83,3496,9235,Plastico,5000,,,,,4322,2300,
84,1838,2590,Plastico,5000,,,,,2861,4342,
85,6966,4437,Plastico,5000,,,,,4644,2867,
86,6328,9562,Carton y Papeles,5000,,,2811,4888,,,
87,2523,3299,Carton y Papeles,5000,,,2112,2603,,,
88,9733,3083,Vidrio,5000,,,,,,,1549
89,6870,6749,Vidrio,5000,,,,,,,2138
90,9483,8108,Vidrio,5000,,,,,,,534
91,1600,4655,Vidrio,5000,,,,,,,3923
92,4186,2227,Vidrio,5000,,,,,,,3178
93,5736,6444,Pilas,5000,2273,4889,,,,,
94,6405,3758,Plastico,5000,,,,,4427,4162,
95,3979,1667,Carton y Papeles,5000,,,3649,2714,,,
96,6888,4211,Vidrio,5000,,,,,,,1410
97,9686,9421,Carton y Papeles,5000,,,1585,2306,,,
98,6783,6447,Pilas,5000,494,1369,,,,,
99,3907,1116,Pilas,5000,4447,3382,,,,,
100,3937,4298,Vidrio,5000,,,,,,,3106
101,8026,4566,Vidrio,5000,,,,,,,106
102,9651,8350,Carton y Papeles,5000,,,370,1892,,,
103,3190,2821,Pilas,5000,4193,1675,,,,,
104,1435,1565,Plastico,5000,,,,,3525,201,
105,5139,4401,Pilas,5000,3908,4528,,,,,
106,3954,5162,Plastico,5000,,,,,133,3078,
107,7531,5382,Carton y Papeles,5000,,,1428,740,,,
108,7544,6907,Plastico,5000,,,,,2913,2947,
109,1730,2767,Plastico,5000,,,,,3307,568,
110,3629,5274,Plastico,5000,,,,,4007,3850,
111,1394,2873,Carton y Papeles,5000,,,2013,1286,,,
112,7702,3366,Vidrio,5000,,,,,,,3410
113,4721,4921,Pilas,5000,4567,614,,,,,
114,3891,2107,Plastico,5000,,,,,2494,2249,
115,8541,4957,Vidrio,5000,,,,,,,3947
116,1687,8359,Carton y Papeles,5000,,,4235,3376,,,
117,9219,1668,Vidrio,5000,,,,,,,620
118,1063,7256,Plastico,5000,,,,,3612,1948,
119,1419,1442,Plastico,5000,,,,,4922,1113,
120,6089,7418,Carton y Papeles,5000,,,2208,673,,,
121,9547,5364,Plastico,5000,,,,,258,4580,
122,2020,5097,Pilas,5000,1575,2845,,,,,
123,9275,8645,Plastico,5000,,,,,602,2508,
124,5282,1807,Vidrio,5000,,,,,,,1421
125,7426,7856,Plastico,5000,,,,,2661,168,
126,3253,9312,Vidrio,5000,,,,,,,2988
127,2170,5019,Vidrio,5000,,,,,,,1448
128,7111,7276,Pilas,5000,2291,1860,,,,,
129,9037,5759,Pilas,5000,4897,1724,,,,,
130,5078,5135,Carton y Papeles,5000,,,3144,2899,,,
131,1047,1574,Plastico,5000,,,,,589,5007,
132,7062,9325,Vidrio,5000,,,,,,,4855
133,4728,3484,Plastico,5000,,,,,967,2872,
134,3238,3395,Carton y Papeles,5000,,,5065,3426,,,
135,7498,9891,Pilas,5000,3825,437,,,,,
136,8867,6885,Carton y Papeles,5000,,,3099,4350,,,
137,6192,7558,Carton y Papeles,5000,,,875,3591,,,
138,5028,5272,Carton y Papeles,5000,,,3575,1967,,,
139,6411,3792,Pilas,5000,335,3567,,,,,
140,6922,9325,Plastico,5000,,,,,3312,664,
141,7658,9546,Plastico,5000,,,,,1111,1479,
142,6806,5665,Vidrio,5000,,,,,,,1018
143,4624,2691,Plastico,5000,,,,,839,2436,
144,2379,4467,Plastico,5000,,,,,3611,330,
145,9697,6773,Vidrio,5000,,,,,,,3289
146,3164,6648,Plastico,5000,,,,,2424,3627,
