id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,5937,3682,3860,2216,21
2,6213,3380,3860,2216,31
3,9903,7221,3860,2216,22
4,8166,7786,3860,2216,17
5,3572,3924,3860,2216,41
6,4058,2940,3860,2216,48
7,6884,3750,3860,2216,43
8,5010,7339,3860,2216,17
9,6485,7630,3860,2216,19
10,3756,4608,3860,2216,30
11,4259,4821,3860,2216,33
12,5647,6432,3860,2216,33
13,6988,7882,3860,2216,46
14,1396,3838,3860,2216,45
15,4851,4509,3860,2216,45
16,5953,1979,3860,2216,50
17,1198,1796,3860,2216,39
18,4141,7701,3860,2216,17
19,7520,8923,3860,2216,16
20,8466,7660,3860,2216,32
21,6165,7488,3860,2216,37
22,7411,9055,3860,2216,21
23,7409,6930,3860,2216,36
24,6837,9293,3860,2216,37
25,5020,3401,3860,2216,22
26,9962,4756,3860,2216,37
27,1483,5748,3860,2216,23
28,8344,1890,3860,2216,37
29,4503,4451,3860,2216,47
30,6420,1057,3860,2216,20
31,2026,8510,3860,2216,22
32,6149,6214,3860,2216,16
33,2633,3438,3860,2216,36
34,1928,5730,3860,2216,30
35,4314,4000,3860,2216,19
36,5205,6363,3860,2216,27
37,4986,7670,3860,2216,28
38,1198,6750,3860,2216,47
39,9216,3701,3860,2216,29
40,1471,5300,3860,2216,32
41,3954,1358,3860,2216,27
42,3474,7523,3860,2216,47
43,6119,1732,3860,2216,15
44,9942,8240,3860,2216,22
45,3870,1360,3860,2216,42
46,9971,5242,3860,2216,46
47,5895,9220,3860,2216,21
48,4068,2157,3860,2216,30
49,4111,2942,3860,2216,48
50,3414,8142,3860,2216,23
51,2533,8818,3860,2216,47
52,9277,9431,3860,2216,35
53,9826,7196,3860,2216,30
54,8943,5747,3860,2216,33
55,6113,8723,3860,2216,21
56,4845,9598,3860,2216,37
57,8905,9503,3860,2216,19
58,6597,4471,3860,2216,30
59,3188,1487,3860,2216,24
60,3407,3954,3860,2216,16
61,3017,4529,3860,2216,35
62,4214,8998,3860,2216,32
63,8556,9169,3860,2216,17
64,4650,6967,3860,2216,21
65,5143,4727,3860,2216,47
66,2869,3168,3860,2216,22
67,8855,3329,3860,2216,33
68,9130,2397,3860,2216,25
69,3068,8918,3860,2216,18
70,8071,6031,3860,2216,48
71,9602,6698,3860,2216,43
72,6022,9277,3860,2216,31
73,1544,3553,3860,2216,45
74,5720,7431,3860,2216,43
75,5964,7516,3860,2216,38
76,4414,3913,3860,2216,36
77,5690,2672,3860,2216,39
78,1858,6735,3860,2216,44
79,7483,5071,3860,2216,15
80,8802,4614,3860,2216,36
81,4273,4877,3860,2216,17
82,9017,3888,3860,2216,48
83,8078,4044,3860,2216,21
84,4098,2073,3860,2216,32
85,7959,8635,3860,2216,30
86,4191,2767,3860,2216,27
87,7944,1670,3860,2216,18
88,6863,8138,3860,2216,35
89,9788,6238,3860,2216,43
90,1131,2158,3860,2216,27
91,9271,2092,3860,2216,37
92,2805,9768,3860,2216,28
93,4346,1155,3860,2216,44
94,7826,1260,3860,2216,40
95,6455,6734,3860,2216,34
96,8490,4883,3860,2216,41
97,9696,3428,3860,2216,47
98,5310,9064,3860,2216,17
99,7619,6281,3860,2216,15
100,2763,2346,3860,2216,50
