id_C,CX,CY,Tipo,CapacidadM,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,3791,7696,Plastico,5000,,,,,1940,1530,
2,3097,3074,Vidrio,5000,,,,,,,192
3,1991,125,Plastico,5000,,,,,2004,545,
4,9675,6381,Vidrio,5000,,,,,,,3522
5,9210,5321,Vidrio,5000,,,,,,,1595
6,2590,3274,Vidrio,5000,,,,,,,3099
7,4989,7849,Plastico,5000,,,,,4217,1762,
8,9708,2399,Plastico,5000,,,,,140,2677,
9,9091,9621,Carton y Papeles,5000,,,1557,4818,,,
10,4247,298,Carton y Papeles,5000,,,1219,626,,,
11,8113,544,Carton y Papeles,5000,,,1961,1306,,,
12,3879,5261,Plastico,5000,,,,,4420,2196,
13,8762,8734,Vidrio,5000,,,,,,,2203
14,5366,3824,Vidrio,5000,,,,,,,763
15,4219,6980,Carton y Papeles,5000,,,1747,2560,,,
16,5958,5362,Carton y Papeles,5000,,,169,2420,,,
17,8198,9257,Pilas,5000,4881,1771,,,,,
18,6233,4934,Plastico,5000,,,,,3998,3433,
19,6098,603,Pilas,5000,4038,1010,,,,,
20,5005,9377,Carton y Papeles,5000,,,1847,2081,,,
21,4070,2024,Vidrio,5000,,,,,,,2966
22,6783,234,Vidrio,5000,,,,,,,4080
23,2207,1475,Pilas,5000,165,2811,,,,,
24,7017,1314,Pilas,5000,3613,3382,,,,,
25,158,3822,Vidrio,5000,,,,,,,2004
26,420,5940,Carton y Papeles,5000,,,2449,5003,,,
27,2535,7859,Plastico,5000,,,,,2634,5073,
28,2901,609,Plastico,5000,,,,,666,4854,
29,5776,2367,Carton y Papeles,5000,,,4788,104,,,
30,7290,9300,Plastico,5000,,,,,877,395,
31,3062,4826,Pilas,5000,2406,2142,,,,,
32,9568,63,Carton y Papeles,5000,,,4013,5009,,,
33,387,2374,Carton y Papeles,5000,,,2994,4737,,,
34,5054,4952,Plastico,5000,,,,,705,137,
35,9242,6444,Pilas,5000,339,3993,,,,,
36,9598,7695,Pilas,5000,636,2694,,,,,
