id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,3730,3347,4000,2000,30
2,1302,1625,4000,2000,40
3,4818,267,4000,2000,28
4,3039,1541,4000,2000,43
5,4011,1639,4000,2000,41
6,4264,2932,4000,2000,56
7,2178,4155,4000,2000,31
8,3826,2113,4000,2000,17
9,2188,4450,4000,2000,42
10,1274,3564,4000,2000,56
11,4528,2194,4000,2000,54
12,1000,4748,4000,2000,29
13,2930,4467,4000,2000,48
14,1550,2406,4000,2000,39
15,1433,2669,4000,2000,30
16,3364,1833,4000,2000,14
17,1962,3911,4000,2000,22
18,3633,3989,4000,2000,35
19,1741,1077,4000,2000,38
20,3575,3604,4000,2000,52
21,672,4384,4000,2000,48
22,2368,284,4000,2000,47
23,589,4466,4000,2000,14
24,3977,917,4000,2000,22
25,158,2250,4000,2000,41
26,4230,1867,4000,2000,24
27,1134,3729,4000,2000,37
28,4798,2263,4000,2000,26
29,4124,3904,4000,2000,56
30,504,3731,4000,2000,12
