id_D,CX,CY,CostoApertura,CostoVehiculo,V
1,5362,7759,4000,2000,13
2,7257,2388,4000,2000,59
3,7358,2167,4000,2000,45
4,2814,4165,4000,2000,26
5,2937,1811,4000,2000,19
6,9998,3295,4000,2000,36
7,9573,2516,4000,2000,59
8,4115,9702,4000,2000,26
9,7949,7401,4000,2000,36
10,9606,7322,4000,2000,48
11,9164,4072,4000,2000,46
12,8373,6246,4000,2000,29
13,5632,3881,4000,2000,37
14,5904,7965,4000,2000,52
15,3356,1675,4000,2000,27
16,2550,9469,4000,2000,47
17,5509,1919,4000,2000,58
18,6013,2837,4000,2000,54
19,1761,8914,4000,2000,56
20,4298,5204,4000,2000,24
21,6042,2559,4000,2000,30
22,2845,2656,4000,2000,39
23,9277,4388,4000,2000,42
24,8541,4275,4000,2000,58
25,1148,4499,4000,2000,27
26,3828,1295,4000,2000,25
27,2267,8777,4000,2000,35
28,2828,3059,4000,2000,38
29,1440,8690,4000,2000,36
30,5568,7853,4000,2000,26
31,4434,4525,4000,2000,28
32,5802,6449,4000,2000,50
33,2825,9242,4000,2000,38
34,1791,5692,4000,2000,31
35,7617,9615,4000,2000,45
36,4762,1052,4000,2000,41
37,1789,7987,4000,2000,44
38,7190,2131,4000,2000,53
39,7878,9755,4000,2000,41
40,8738,5388,4000,2000,30
41,6795,8454,4000,2000,12
42,7042,3827,4000,2000,24
43,7110,1634,4000,2000,36
44,2427,2334,4000,2000,30
45,2945,1791,4000,2000,46
46,9467,2310,4000,2000,52
47,3977,1802,4000,2000,39
48,7455,2711,4000,2000,52
49,5480,4147,4000,2000,41
50,4739,9717,4000,2000,50
51,1752,6915,4000,2000,47
52,1521,5707,4000,2000,53
53,6584,2373,4000,2000,46
54,1029,1302,4000,2000,10
55,9063,8982,4000,2000,44
56,6732,5872,4000,2000,17
57,3857,1598,4000,2000,44
58,1330,7758,4000,2000,50
59,8561,7932,4000,2000,16
60,4298,9289,4000,2000,15
61,5899,5610,4000,2000,19
62,2994,2456,4000,2000,44
63,9100,5738,4000,2000,34
64,7724,4851,4000,2000,14
65,3785,7148,4000,2000,58
66,6717,5352,4000,2000,56
67,2486,4904,4000,2000,37
68,4575,5135,4000,2000,35
69,3906,6483,4000,2000,49
70,9365,4659,4000,2000,58
71,3312,9524,4000,2000,35
72,9702,4936,4000,2000,33
73,6406,7486,4000,2000,14
74,9423,1158,4000,2000,56
75,2128,6270,4000,2000,33
76,8352,8278,4000,2000,29
77,8890,2468,4000,2000,38
78,5106,7073,4000,2000,39
79,5806,9989,4000,2000,26
80,4370,5616,4000,2000,34
81,8845,6789,4000,2000,50
82,6559,6904,4000,2000,16
83,4892,1323,4000,2000,25
84,5429,8162,4000,2000,59
85,6588,7206,4000,2000,24
86,3955,9305,4000,2000,54
87,2161,4034,4000,2000,57
88,9446,7805,4000,2000,18
89,4285,7063,4000,2000,29
90,9722,1965,4000,2000,46
91,3743,7093,4000,2000,27
92,9184,2672,4000,2000,33
93,2715,3422,4000,2000,50
94,2843,2831,4000,2000,53
95,6908,6524,4000,2000,47
96,5501,9571,4000,2000,30
97,8560,7183,4000,2000,51
98,8395,1428,4000,2000,37
99,9076,4706,4000,2000,10
100,2465,3666,4000,2000,16
