id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;Plastico;5462;4884;;;;661;248;2671;1530;
2;Carton;2490;4034;;;;;262;;;
3;RAEE;6246;5396;4409;3919;877;2751;;4095;1159;
4;RAEE;5685;8030;2194;2531;290;1851;;4899;3809;
5;Carton;10331;10655;;;;;4668;;;
6;Vidiro;7247;6085;3918;;1615;2658;;3304;2988;
7;Carton;10072;9450;;;;;1851;;;
8;Vidiro;3759;8455;1862;;1550;5039;;1548;4932;
9;RAEE;5366;5894;4656;1745;3515;3365;;2429;3170;
10;Plastico;3789;4249;;;;4326;4417;4587;841;
11;Carton;4228;8691;;;;;2400;;;
12;RAEE;3493;9617;1704;1172;4384;3467;;3974;4324;
13;Plastico;7167;9707;;;;2513;1071;950;511;
14;Plastico;5386;10116;;;;3908;3357;2441;4577;
15;RAEE;3483;7658;4676;1338;3107;4657;;3639;600;
16;Carton;10526;1295;;;;;2050;;;
17;RAEE;10579;9175;255;4442;4631;197;;3208;1954;
18;Plastico;1948;4519;;;;1516;2711;1500;1125;
19;Vidiro;5952;6877;3062;;1293;4536;;4301;652;
20;Plastico;9993;10092;;;;4971;4487;961;1921;
21;Pilas;6318;5036;;;574;;;;;
22;Vidiro;9379;4529;1587;;483;4323;;1458;3076;
23;Vidiro;7991;9969;3116;;373;3058;;2976;4687;
24;Vidiro;10151;3312;4804;;2757;4332;;2208;2628;
25;RAEE;10971;3969;390;3458;3447;2216;;1837;1976;
26;Carton;5039;5576;;;;;4715;;;
27;Carton;8286;3939;;;;;1355;;;
28;Pilas;4668;10623;;;3078;;;;;
29;RAEE;4851;8467;1264;2708;3285;3921;;1940;1746;
30;Plastico;3702;4164;;;;3503;3554;4425;1850;
31;Carton;2922;3414;;;;;2413;;;
32;Vidiro;4342;4590;728;;1629;3635;;3335;1649;
33;Plastico;5510;7115;;;;3461;3683;3109;977;
34;Carton;3543;7194;;;;;4483;;;
35;RAEE;5192;4753;1612;2256;3805;2289;;359;727;
36;Carton;1956;1237;;;;;4398;;;
37;RAEE;4827;5869;457;4856;4614;2006;;4366;2082;
38;Pilas;7434;9980;;;895;;;;;
39;Carton;10857;10460;;;;;1008;;;
40;Vidiro;9843;8534;4195;;498;3270;;2900;2687;
41;Vidiro;5781;4428;118;;1469;4294;;3946;2690;
42;RAEE;1473;6555;5087;2561;3065;3421;;347;3397;
43;Pilas;6238;7042;;;4798;;;;;
44;RAEE;6736;10063;3370;1529;4089;120;;4699;1889;
45;Plastico;3607;1732;;;;1251;850;3038;1797;
46;Pilas;5596;2881;;;251;;;;;
47;Pilas;1580;9509;;;4997;;;;;
48;Pilas;7831;1564;;;2169;;;;;
49;Vidiro;3959;7350;3795;;1865;1762;;3417;3294;
50;Pilas;1651;4337;;;2540;;;;;
51;Pilas;6944;5877;;;3547;;;;;
52;RAEE;7980;4300;1676;281;3766;3180;;2213;2276;
53;RAEE;4397;3011;4061;306;2528;3372;;3008;648;
54;Plastico;2967;5673;;;;1736;4320;4313;5073;
55;Pilas;10717;4006;;;1047;;;;;
56;Plastico;4368;3069;;;;1768;3666;955;3302;
57;Pilas;3232;1287;;;860;;;;;
58;RAEE;4684;3326;4098;3984;3648;2370;;1892;548;
59;Carton;6590;3818;;;;;2326;;;
60;Pilas;9390;5576;;;3207;;;;;
61;RAEE;4934;1822;2402;2991;3433;423;;1557;4289;
62;Carton;5877;1042;;;;;1644;;;
63;Carton;1802;10513;;;;;2022;;;
64;Plastico;4511;10107;;;;881;1000;2370;1471;
65;Pilas;4718;8633;;;2208;;;;;
66;Plastico;3210;8150;;;;1244;3072;2074;4899;
67;RAEE;8215;6307;3773;948;1451;167;;1777;2995;
68;Vidiro;6869;7190;4243;;1153;2326;;1065;3286;
69;Pilas;10478;10588;;;3296;;;;;
70;Carton;8221;1860;;;;;4531;;;
71;Vidiro;9010;5575;2434;;1649;1827;;4649;3309;
72;RAEE;9201;5574;1004;4741;3538;251;;611;4728;
73;Vidiro;5622;5654;1948;;2072;320;;1426;1660;
74;Vidiro;7130;6874;2090;;3982;4665;;1452;3557;
75;RAEE;8845;1038;4672;4687;1020;4225;;614;1429;
76;Vidiro;7381;1155;1632;;2118;848;;1254;3125;
77;Plastico;8782;10354;;;;4454;2132;3009;1936;
78;Vidiro;5258;4042;3240;;4059;1630;;3050;3256;
79;Vidiro;8920;1661;3959;;1681;3305;;4473;3010;
80;Pilas;6938;5529;;;3923;;;;;
81;RAEE;3899;5779;1024;4013;784;2373;;3367;4168;
82;Plastico;6182;1103;;;;4677;381;2919;4988;
83;Pilas;9163;6769;;;2535;;;;;
84;RAEE;3782;3125;4463;431;768;2374;;2721;1649;
85;Vidiro;8656;2444;2535;;2874;473;;1448;4910;
86;Vidiro;3646;1967;4281;;1170;2305;;3858;2803;
87;Vidiro;6025;5998;2246;;3143;4753;;5029;1621;
88;Plastico;8300;6644;;;;3068;4370;925;969;
89;Plastico;7927;8270;;;;4462;1496;2142;2163;
90;Pilas;2206;7041;;;184;;;;;
91;Plastico;1222;6453;;;;432;4608;119;1782;
92;Vidiro;9079;9517;4184;;4898;2699;;1484;543;
93;Vidiro;6803;1704;1728;;1673;1740;;3998;3343;
94;Plastico;3355;7646;;;;4518;2952;4130;2548;
95;Vidiro;10289;6604;4383;;2388;3862;;754;4071;
96;RAEE;7841;10171;1025;422;2748;3762;;865;3551;
97;Carton;10366;7830;;;;;2392;;;
98;Plastico;4471;2682;;;;2278;3428;4976;1696;
99;Carton;7181;4907;;;;;1922;;;
100;Plastico;10511;5650;;;;1900;4864;3211;2223;
101;RAEE;3957;4634;334;4056;1272;3996;;1173;1075;
102;Carton;10615;8904;;;;;3359;;;
103;Vidiro;8727;1440;5005;;3869;1474;;2953;1402;
104;Carton;6281;4249;;;;;1245;;;
105;Plastico;5251;7933;;;;4115;144;2872;2072;
106;RAEE;9678;7296;2735;3920;2555;160;;1247;3522;
107;Carton;8964;5905;;;;;791;;;
108;Vidiro;6346;4179;4215;;1006;4901;;1869;2639;
109;RAEE;4051;2245;2402;3278;4433;2770;;3322;2205;
110;Vidiro;1994;9252;4653;;2339;3673;;2109;2400;
111;RAEE;2072;7783;1078;3565;2408;1424;;3096;708;
112;Pilas;2791;4902;;;3660;;;;;
113;Plastico;7442;5813;;;;1578;3567;4435;2264;
114;RAEE;7137;9909;2232;2261;475;3137;;4501;400;
115;Vidiro;2398;9053;3282;;3417;2451;;3099;2077;
116;Carton;1027;1995;;;;;3270;;;
117;Plastico;2250;8996;;;;4144;4261;4339;1974;
118;Vidiro;8628;5926;218;;3935;4760;;3702;2448;
119;Carton;1035;7639;;;;;435;;;
120;Pilas;9038;7154;;;1320;;;;;
121;Carton;10472;1411;;;;;2901;;;
122;Plastico;7790;8918;;;;5060;4268;4835;4494;
123;Vidiro;10564;9896;1539;;2977;5011;;577;3095;
124;Plastico;4746;1137;;;;1195;1624;3336;4296;
125;Carton;2860;8626;;;;;5020;;;
126;RAEE;1198;2175;869;4076;4926;3788;;816;1239;
127;Vidiro;5208;6451;225;;4448;619;;1664;2325;
128;Plastico;6430;4393;;;;629;3631;3269;3076;
129;RAEE;7407;3757;4719;1836;327;4640;;2034;1502;
130;Carton;8576;5056;;;;;2502;;;
131;Carton;10096;8447;;;;;3404;;;
132;Carton;3898;6427;;;;;3698;;;
133;Pilas;1946;7345;;;2828;;;;;
134;Plastico;10739;1099;;;;4722;4720;1333;1129;
135;RAEE;3378;10758;566;5085;1641;2500;;2840;569;
136;Vidiro;7456;10471;2004;;3370;4217;;1661;2620;
137;Carton;10544;2342;;;;;1942;;;
138;Pilas;8688;10646;;;3879;;;;;
139;Vidiro;7098;8828;818;;4161;2234;;4548;271;
140;Plastico;10135;10914;;;;2128;2415;4349;2597;
141;Vidiro;6123;6072;2128;;3442;2290;;3689;962;
142;Vidiro;2734;7283;3676;;423;4432;;3246;4202;
143;Plastico;2782;3326;;;;2600;1488;3794;2049;
144;Vidiro;3911;8829;4520;;4958;630;;3769;3807;
145;Pilas;6654;9741;;;4134;;;;;
146;Pilas;4435;4970;;;4398;;;;;
147;Vidiro;3056;1258;2084;;2034;4767;;231;1136;
148;Carton;2449;8457;;;;;4050;;;
149;Carton;6197;7290;;;;;3209;;;
150;Carton;1471;10114;;;;;429;;;
151;RAEE;10645;3551;1751;2744;3621;2137;;1180;2592;
152;Pilas;8364;2730;;;4074;;;;;
153;Vidiro;6713;3885;1833;;4468;3397;;4634;1925;
154;Pilas;6893;5836;;;3635;;;;;
155;Carton;3087;8836;;;;;1302;;;
156;RAEE;7717;1688;4368;1177;302;3365;;4698;2339;
157;Vidiro;5345;4442;1175;;795;5029;;1888;3680;
158;Vidiro;1838;10873;4235;;4508;1225;;1480;4344;
159;Plastico;5500;10915;;;;3788;4021;3986;506;
160;Carton;10609;8437;;;;;2138;;;
161;RAEE;3639;5291;1330;3736;2883;933;;1163;3578;
162;Pilas;8114;10204;;;3052;;;;;
163;Plastico;10077;2358;;;;3585;3936;3567;4182;
164;RAEE;10688;9382;3477;3756;752;235;;4717;3189;
165;Vidiro;8513;9008;1905;;1097;2058;;1893;232;
166;Vidiro;5143;8857;1357;;3513;3473;;662;2590;
167;Vidiro;7084;3649;1372;;2569;1510;;1060;2303;
168;Carton;9176;6689;;;;;3928;;;
169;RAEE;6824;2829;4790;4937;4097;2947;;2286;2407;
170;Plastico;5640;9670;;;;3949;3733;511;2362;
171;Pilas;4359;6973;;;895;;;;;
172;Plastico;5975;9433;;;;2544;1295;4479;1099;
173;Carton;10371;1069;;;;;4651;;;
174;Pilas;3245;6040;;;2035;;;;;
175;Plastico;2229;9169;;;;3515;1928;875;2185;
176;Carton;10630;6976;;;;;1493;;;
177;Plastico;5591;1430;;;;796;1325;2442;581;
178;Carton;10644;7138;;;;;4123;;;
179;Plastico;8137;8399;;;;448;2050;2790;488;
180;RAEE;7122;5625;743;860;1484;2571;;2987;4922;
181;Pilas;4453;4863;;;4946;;;;;
182;Pilas;9454;6027;;;602;;;;;
183;Vidiro;8604;6907;2348;;2145;2759;;1371;4283;
184;Vidiro;1058;2716;3460;;4506;2724;;934;483;
185;Vidiro;1593;7477;3430;;400;4130;;4604;205;
186;RAEE;5246;3749;4152;2876;4969;4655;;480;2229;
187;Carton;1538;3628;;;;;4650;;;
188;Pilas;1251;2061;;;2067;;;;;
189;Vidiro;7945;6673;4669;;1607;3209;;262;4437;
190;Plastico;5252;5844;;;;4735;4448;4843;333;
191;Pilas;3097;8399;;;1325;;;;;
192;Plastico;3268;4840;;;;849;831;2037;1376;
193;Plastico;7633;8189;;;;2693;608;4382;3366;
194;Carton;2882;1203;;;;;1443;;;
195;Pilas;2718;1463;;;1662;;;;;
196;Carton;6100;2582;;;;;1295;;;
197;Carton;7815;5360;;;;;2553;;;
198;Vidiro;1586;9567;3643;;4416;3476;;581;692;
199;Plastico;6009;10022;;;;4055;4630;5016;3673;
200;RAEE;3764;1120;4207;1938;1614;1155;;3500;3067;
