id_C,CX,CY,Tipo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo
1,5857,7043,Carton,,,,5084,,1791,938
2,6900,4483,Pilas,5033,1916,499,4322,3640,4761,4575
3,2482,4554,Vidiro,,,2357,3992,,3937,
4,6438,9480,Plastico,4540,,1119,,,4574,3535
5,3174,5097,RAEE,4669,4089,4729,2712,1279,1981,1195
6,4990,2814,RAEE,841,2489,2904,502,1964,738,4057
7,8442,8895,RAEE,2731,3433,1429,4964,2873,2448,790
8,8560,1874,Vidiro,,,2305,1895,,229,
9,4186,1759,Vidiro,,,167,1955,,1750,
10,9233,8471,Carton,,,,722,,1727,2894
11,4838,8265,Carton,,,,2732,,261,1052
12,7616,5846,Carton,,,,2932,,4072,1081
13,9522,3884,Vidiro,,,3410,189,,1455,
14,4439,5627,Pilas,1200,4794,422,2850,4380,2893,242
15,2254,1772,Vidiro,,,193,3137,,2491,
16,10077,10550,Vidiro,,,793,849,,2076,
17,9525,10721,Plastico,2148,,2705,,,2617,1810
18,5047,9873,Plastico,3774,,1088,,,2702,4821
19,3662,7704,Carton,,,,1907,,3298,355
20,3579,3486,Pilas,716,4977,878,1619,4672,1571,2368
21,7548,2349,RAEE,4606,3497,1046,3475,1559,5093,2348
22,8961,6020,Vidiro,,,663,4841,,2350,
23,9620,4742,RAEE,1918,449,3088,4405,3502,5057,634
24,10180,2476,Plastico,2103,,3844,,,1755,3452
25,3085,8513,Carton,,,,3131,,989,4661
26,5377,10489,RAEE,4497,4178,890,4238,2780,4510,4332
27,4090,7228,Vidiro,,,2530,633,,4435,
28,3387,8420,Plastico,3963,,2627,,,3323,2707
29,5182,7575,Plastico,1796,,1129,,,4176,4037
30,2942,4453,Carton,,,,916,,4302,3956
31,2606,10692,RAEE,1116,4024,2431,2345,1309,4861,4230
32,1545,8149,Pilas,1864,2464,529,5087,1424,4712,1663
33,2016,3660,RAEE,1544,1697,986,1349,1475,1802,551
34,1232,10661,Vidiro,,,4573,777,,519,
35,2804,5274,RAEE,3017,4857,3626,1518,1407,390,3883
36,4089,1278,Plastico,2801,,3293,,,2575,1813
37,8137,4920,Plastico,4475,,1621,,,1137,2529
38,9325,3621,Pilas,3568,2194,4220,340,350,3494,1969
39,9168,4151,Plastico,1038,,911,,,2137,4821
40,9900,8315,Pilas,3053,1960,3756,4766,4097,4028,4428
41,10724,6449,Plastico,2254,,3874,,,4439,4344
42,4595,8785,RAEE,287,4488,3211,2156,4008,1362,255
43,5846,9425,Plastico,4668,,3777,,,4608,848
44,7630,2368,Carton,,,,2748,,1818,4784
45,9328,7442,Carton,,,,146,,5048,1712
46,1737,10193,Plastico,4974,,4009,,,494,4362
47,3020,9802,Pilas,4735,4057,3117,4512,2602,4037,3190
48,9362,7037,Plastico,1182,,1894,,,173,2900
49,3830,4401,Pilas,4416,4899,643,1029,1988,1188,2588
50,2763,2350,Pilas,1125,3470,4489,4296,4457,4799,3665
