id_C;Tipo;CX;CY;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo
1;Carton;5857;7043;;;;5084;;1791;938;
2;Pilas;6900;4483;5033;1916;499;4322;3640;4761;4575;
3;Vidiro;2482;4554;;;2357;3992;;3937;;
4;Plastico;6438;9480;4540;;1119;;;4574;3535;
5;RAEE;3174;5097;4669;4089;4729;2712;1279;1981;1195;
6;RAEE;4990;2814;841;2489;2904;502;1964;738;4057;
7;RAEE;8442;8895;2731;3433;1429;4964;2873;2448;790;
8;Vidiro;8560;1874;;;2305;1895;;229;;
9;Vidiro;4186;1759;;;167;1955;;1750;;
10;Carton;9233;8471;;;;722;;1727;2894;
11;Carton;4838;8265;;;;2732;;261;1052;
12;Carton;7616;5846;;;;2932;;4072;1081;
13;Vidiro;9522;3884;;;3410;189;;1455;;
14;Pilas;4439;5627;1200;4794;422;2850;4380;2893;242;
15;Vidiro;2254;1772;;;193;3137;;2491;;
16;Vidiro;10077;10550;;;793;849;;2076;;
17;Plastico;9525;10721;2148;;2705;;;2617;1810;
18;Plastico;5047;9873;3774;;1088;;;2702;4821;
19;Carton;3662;7704;;;;1907;;3298;355;
20;Pilas;3579;3486;716;4977;878;1619;4672;1571;2368;
21;RAEE;7548;2349;4606;3497;1046;3475;1559;5093;2348;
22;Vidiro;8961;6020;;;663;4841;;2350;;
23;RAEE;9620;4742;1918;449;3088;4405;3502;5057;634;
24;Plastico;10180;2476;2103;;3844;;;1755;3452;
25;Carton;3085;8513;;;;3131;;989;4661;
26;RAEE;5377;10489;4497;4178;890;4238;2780;4510;4332;
27;Vidiro;4090;7228;;;2530;633;;4435;;
28;Plastico;3387;8420;3963;;2627;;;3323;2707;
29;Plastico;5182;7575;1796;;1129;;;4176;4037;
30;Carton;2942;4453;;;;916;;4302;3956;
31;RAEE;2606;10692;1116;4024;2431;2345;1309;4861;4230;
32;Pilas;1545;8149;1864;2464;529;5087;1424;4712;1663;
33;RAEE;2016;3660;1544;1697;986;1349;1475;1802;551;
34;Vidiro;1232;10661;;;4573;777;;519;;
35;RAEE;2804;5274;3017;4857;3626;1518;1407;390;3883;
36;Plastico;4089;1278;2801;;3293;;;2575;1813;
37;Plastico;8137;4920;4475;;1621;;;1137;2529;
38;Pilas;9325;3621;3568;2194;4220;340;350;3494;1969;
39;Plastico;9168;4151;1038;;911;;;2137;4821;
40;Pilas;9900;8315;3053;1960;3756;4766;4097;4028;4428;
41;Plastico;10724;6449;2254;;3874;;;4439;4344;
42;RAEE;4595;8785;287;4488;3211;2156;4008;1362;255;
43;Plastico;5846;9425;4668;;3777;;;4608;848;
44;Carton;7630;2368;;;;2748;;1818;4784;
45;Carton;9328;7442;;;;146;;5048;1712;
46;Plastico;1737;10193;4974;;4009;;;494;4362;
47;Pilas;3020;9802;4735;4057;3117;4512;2602;4037;3190;
48;Plastico;9362;7037;1182;;1894;;;173;2900;
49;Pilas;3830;4401;4416;4899;643;1029;1988;1188;2588;
50;Pilas;2763;2350;1125;3470;4489;4296;4457;4799;3665;
